tamanio,costo_prom,costo_moda,costo_var,costo_min,costo_max,dens_celda_t2,dens_celda_t3,dens_total,entropia_costos,gradiente_prom,bfs_costo,bfs_nodos,bfs_tiempo,a_star_costo,a_star_nodos,a_star_tiempo,ucs_costo,ucs_nodos,ucs_tiempo,greedy_costo,greedy_nodos,greedy_tiempo,mejor_alg
10,1.42,1.0,0.4236000000000001,0,3,0.27,0.08,0.35000000000000003,0.8872537354823457,0.6277777777777778,30,100,0.00022912025451660156,19,61,0.00027298927307128906,19,99,0.0003337860107421875,25,19,6.318092346191406e-05,A*
8,1.484375,1.0,0.406005859375,0,3,0.375,0.0625,0.4375,0.936138528282176,0.5267857142857143,18,64,0.0001537799835205078,15,37,0.00014829635620117188,15,64,0.0002014636993408203,22,15,4.6253204345703125e-05,A*
3,1.3333333333333333,1.0,0.6666666666666666,0,3,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.1490596969706202,0.75,8,9,2.8133392333984375e-05,4,6,2.5033950805664062e-05,4,8,1.8835067749023438e-05,4,5,1.2159347534179688e-05,Greedy
8,1.328125,1.0,0.345458984375,0,3,0.25,0.046875,0.296875,0.8126080784496044,0.5267857142857143,19,64,0.00015282630920410156,14,23,0.00010061264038085938,14,64,0.00020647048950195312,16,15,4.7206878662109375e-05,A*
8,1.328125,1.0,0.376708984375,0,3,0.21875,0.0625,0.28125,0.8183863318165848,0.5714285714285714,19,64,0.00019550323486328125,14,21,9.226799011230469e-05,14,64,0.00018739700317382812,21,15,4.7206878662109375e-05,A*
3,1.1111111111111112,1.0,0.54320987654321,0,3,0.0,0.1111111111111111,0.1111111111111111,0.6837389058487535,0.6666666666666666,4,9,2.6941299438476562e-05,4,7,2.8371810913085938e-05,4,9,3.0994415283203125e-05,6,5,1.2636184692382812e-05,A*
8,1.453125,1.0,0.435302734375,0,3,0.3125,0.078125,0.390625,0.937162628627594,0.7053571428571429,20,64,0.00015044212341308594,14,27,0.000118255615234375,14,63,0.0001964569091796875,21,15,4.649162292480469e-05,A*
5,1.4,1.0,0.4,0,3,0.36,0.04,0.39999999999999997,0.9500028724426169,0.725,11,25,6.127357482910156e-05,9,21,8.153915405273438e-05,9,25,6.842613220214844e-05,13,9,2.765655517578125e-05,A*
4,1.625,2.0,0.609375,0,3,0.4375,0.125,0.5625,1.1626998334975678,0.875,9,16,4.1484832763671875e-05,9,16,5.412101745605469e-05,9,16,4.00543212890625e-05,9,7,1.9311904907226562e-05,Greedy
3,1.4444444444444444,1.0,0.691358024691358,0,3,0.3333333333333333,0.1111111111111111,0.4444444444444444,1.2148896539491203,1.1666666666666667,6,9,2.5510787963867188e-05,5,8,4.410743713378906e-05,5,9,2.002716064453125e-05,7,5,1.239776611328125e-05,A*
3,1.3333333333333333,1.0,0.8888888888888888,0,3,0.0,0.2222222222222222,0.2222222222222222,0.848685557726417,1.0,6,9,2.6226043701171875e-05,4,6,2.4318695068359375e-05,4,9,2.1457672119140625e-05,6,5,2.5272369384765625e-05,A*
3,1.4444444444444444,1.0,0.691358024691358,0,3,0.3333333333333333,0.1111111111111111,0.4444444444444444,1.2148896539491203,0.9166666666666666,6,9,2.5510787963867188e-05,5,7,2.765655517578125e-05,5,9,2.0742416381835938e-05,6,5,1.5735626220703125e-05,A*
5,1.4,1.0,0.56,0,3,0.2,0.12,0.32,0.9906979855077475,0.725,8,25,6.079673767089844e-05,8,11,4.2438507080078125e-05,8,22,6.341934204101562e-05,11,9,2.5987625122070312e-05,A*
